timestamp,target_x,target_y,error_x,error_y,p_out_delta_x,p_out_delta_y,pid_out_x,pid_out_y
16:56:21.172,524.138,379.350,92.138,59.350,-4.038,2.404,-4.038,92.282
16:56:21.256,524.138,379.350,92.138,59.350,-4.038,2.404,-4.038,92.282
16:56:21.338,524.138,379.350,92.138,59.350,-4.038,2.404,-4.038,92.282
16:56:21.420,524.138,379.350,92.138,59.350,-4.038,2.404,-4.038,92.282
16:56:21.504,524.138,379.350,92.138,59.350,-4.038,2.404,-4.038,92.282
16:56:21.648,463.050,384.075,31.050,64.075,-0.152,1.764,-4.190,94.046
16:56:21.739,483.975,412.087,51.975,92.087,-1.901,2.762,-6.091,96.808
16:56:21.821,466.425,414.450,34.425,94.450,-0.839,2.550,-6.930,99.358
16:56:21.910,426.938,252.450,-5.062,-67.550,-0.839,-3.539,-6.930,95.820
16:56:21.999,476.213,407.025,44.213,87.025,-2.038,3.980,-8.968,99.799
16:56:22.083,468.113,401.625,36.113,81.625,-1.018,2.125,-9.986,101.924
16:56:22.167,471.150,399.263,39.150,79.263,-1.262,2.094,-11.248,104.018
16:56:22.259,384.750,237.600,-47.250,-82.400,2.629,-3.932,-8.619,100.086
16:56:22.339,362.475,232.031,-69.525,-87.969,2.466,-2.411,-6.152,97.674
16:56:22.423,341.550,227.475,-90.450,-92.525,3.101,-2.522,-3.051,95.152
16:56:22.504,375.300,228.319,-56.700,-91.681,1.317,-2.442,-1.734,92.710
16:56:22.595,396.562,228.488,-35.438,-91.512,0.821,-2.445,-0.913,90.265
16:56:22.680,440.100,228.488,8.100,-91.512,0.821,-2.447,-0.913,87.818
16:56:22.763,459.000,226.463,27.000,-93.537,-1.095,-2.522,-2.008,85.296
16:56:22.860,473.175,224.269,41.175,-95.731,-1.474,-2.583,-3.481,82.713
16:56:22.945,471.150,236.250,39.150,-83.750,-1.194,-2.111,-4.675,80.602
16:56:23.036,454.612,283.500,22.612,-36.500,-0.484,-0.471,-5.160,80.131
16:56:23.120,510.300,489.713,78.300,169.713,-3.187,6.743,-8.347,86.874
16:56:23.201,347.963,363.150,-84.037,43.150,4.791,-0.200,-3.555,86.674
16:56:23.285,330.750,366.863,-101.250,46.863,3.388,1.293,-0.167,87.967
16:56:23.368,400.950,406.688,-31.050,86.688,0.030,2.744,-0.137,90.710
16:56:23.448,257.681,275.400,-174.319,-44.600,7.353,-2.596,7.216,88.114
16:56:23.538,253.463,265.275,-178.537,-54.725,5.625,-1.571,12.841,86.542
16:56:23.622,183.769,238.275,-248.231,-81.725,8.675,-2.474,21.516,84.069
16:56:23.704,164.869,270.675,-267.131,-49.325,8.585,-0.972,30.101,83.096
16:56:23.788,151.959,288.900,-280.041,-31.100,8.908,-0.637,39.008,82.460
16:56:23.870,171.366,335.812,-260.634,15.812,7.870,0.924,46.879,83.384
16:56:23.952,206.381,358.763,-225.619,38.763,6.569,1.282,53.448,84.666
16:56:24.034,206.381,358.763,-225.619,38.763,6.569,1.282,53.448,84.666
16:56:24.113,206.381,358.763,-225.619,38.763,6.569,1.282,53.448,84.666
16:56:24.195,206.381,358.763,-225.619,38.763,6.569,1.282,53.448,84.666
16:56:24.285,525.825,339.188,93.825,19.188,-7.197,0.304,46.251,84.970
16:56:24.372,537.300,338.175,105.300,18.175,-3.438,0.475,42.813,85.445
16:56:24.451,550.800,335.812,118.800,15.812,-3.886,0.397,38.927,85.842
16:56:24.532,550.800,335.812,118.800,15.812,-3.886,0.397,38.927,85.842
16:56:24.613,452.925,330.750,20.925,10.750,0.656,0.233,39.583,86.076
16:56:24.695,415.800,322.650,-16.200,2.650,1.002,0.233,40.585,86.076
16:56:24.775,393.188,320.625,-38.812,0.625,1.513,0.233,42.097,86.076
16:56:24.858,402.975,321.975,-29.025,1.975,0.775,0.233,42.872,86.076
16:56:24.943,412.763,321.638,-19.237,1.638,0.469,0.233,43.341,86.076
16:56:25.025,428.625,320.625,-3.375,0.625,0.469,0.233,43.341,86.076
16:56:25.108,436.725,318.263,4.725,-1.737,0.469,0.233,43.341,86.076
16:56:25.215,439.763,317.250,7.763,-2.750,0.469,0.233,43.341,86.076
16:56:25.301,442.800,317.250,10.800,-2.750,-0.377,0.233,42.964,86.076
16:56:25.383,453.938,316.575,21.938,-3.425,-0.833,0.233,42.131,86.076
16:56:25.478,496.463,319.275,64.463,-0.725,-2.579,0.233,39.551,86.076
16:56:25.561,523.800,320.625,91.800,0.625,-3.229,0.233,36.322,86.076
16:56:25.643,553.163,320.963,121.163,0.963,-4.172,0.233,32.151,86.076
16:56:25.724,577.125,309.487,145.125,-10.513,-4.847,-0.404,27.304,85.672
16:56:25.805,569.700,306.450,137.700,-13.550,-4.196,-0.395,23.108,85.277
16:56:25.889,561.600,306.450,129.600,-13.550,-3.934,-0.362,19.173,84.915
16:56:25.973,561.600,304.763,129.600,-15.237,-4.043,-0.425,15.131,84.489
16:56:26.054,578.812,297.675,146.812,-22.325,-4.809,-0.673,10.321,83.817
16:56:26.136,594.000,290.925,162.000,-29.075,-5.256,-0.850,5.065,82.967
16:56:26.220,606.150,290.588,174.150,-29.412,-5.595,-0.790,-0.529,82.177
16:56:26.304,606.488,295.988,174.488,-24.012,-5.447,-0.584,-5.976,81.593
16:56:26.385,581.175,288.900,149.175,-31.100,-4.315,-0.907,-10.291,80.686
16:56:26.466,605.475,282.825,173.475,-37.175,-5.736,-1.059,-16.027,79.627
16:56:26.557,586.575,283.500,154.575,-36.500,-4.569,-0.969,-20.596,78.658
16:56:26.641,575.438,284.175,143.438,-35.825,-4.325,-0.951,-24.921,77.708
16:56:26.724,596.025,296.663,164.025,-23.337,-5.392,-0.490,-30.313,77.217
16:56:26.807,607.500,305.100,175.500,-14.900,-5.628,-0.308,-35.940,76.909
16:56:26.895,596.025,314.550,164.025,-5.450,-4.963,-0.308,-40.903,76.909
16:56:26.976,596.025,314.550,164.025,-5.450,-4.963,-0.308,-40.903,76.909
