timestamp,target_x,target_y,error_x,error_y,p_out_delta_x,p_out_delta_y,pid_out_x,pid_out_y
16:56:52.039,513.675,216.169,81.675,-103.831,-3.639,-3.886,-3.639,86.114
16:56:52.123,513.000,216.000,81.000,-104.000,-2.518,-2.782,-6.157,83.331
16:56:52.208,510.300,221.231,78.300,-98.769,-2.406,-2.585,-8.563,80.746
16:56:52.370,510.300,221.231,78.300,-98.769,-2.406,-2.585,-8.563,80.746
16:56:52.466,393.862,331.088,-38.138,11.088,2.746,1.471,-5.298,82.609
16:56:52.552,382.050,337.163,-49.950,17.163,1.716,0.524,-3.530,83.133
16:56:52.645,387.450,330.075,-44.550,10.075,1.317,0.194,-2.212,83.327
16:56:52.730,387.450,330.075,-44.550,10.075,1.317,0.194,-2.212,83.327
16:56:52.822,452.925,291.600,20.925,-28.400,-1.528,-1.171,-4.032,82.019
16:56:52.907,461.363,290.588,29.363,-29.412,-1.029,-0.797,-5.061,81.222
16:56:52.989,465.413,288.900,33.413,-31.100,-1.096,-0.850,-6.157,80.372
16:56:53.070,455.625,300.712,23.625,-19.288,-0.606,-0.389,-6.763,80.025
16:56:53.161,433.350,309.825,1.350,-10.175,-0.606,-0.175,-6.664,79.850
16:56:53.247,413.438,315.225,-18.562,-4.775,0.845,-0.175,-5.730,79.850
16:56:53.330,405.000,315.900,-27.000,-4.100,0.955,-0.175,-4.775,79.850
16:56:53.427,404.663,315.225,-27.337,-4.775,0.857,-0.175,-3.918,79.850
16:56:53.519,411.075,316.913,-20.925,-3.087,0.567,-0.175,-3.351,79.850
16:56:53.601,424.575,316.575,-7.425,-3.425,0.567,-0.175,-3.411,79.850
16:56:53.684,436.725,315.900,4.725,-4.100,0.567,-0.175,-3.465,79.850
16:56:53.772,436.388,316.575,4.388,-3.425,0.567,-0.175,-3.465,79.850
16:56:53.853,433.688,317.250,1.688,-2.750,0.567,-0.175,-3.465,79.850
16:56:53.941,428.963,315.900,-3.037,-4.100,0.567,-0.175,-3.465,79.850
16:56:54.024,421.875,312.525,-10.125,-7.475,0.411,-0.175,-3.054,79.850
16:56:54.105,419.175,308.812,-12.825,-11.188,0.436,-0.339,-2.618,79.511
16:56:54.208,417.825,304.088,-14.175,-15.912,0.460,-0.476,-2.158,79.035
16:56:54.296,422.550,303.075,-9.450,-16.925,0.460,-0.463,-2.158,78.572
16:56:54.381,437.737,314.888,5.737,-5.112,0.460,-0.463,-2.226,78.614
16:56:54.461,427.275,331.088,-4.725,11.088,0.460,0.470,-2.179,79.142
16:56:54.545,413.100,336.150,-18.900,16.150,0.779,0.486,-1.337,79.628
16:56:54.630,374.625,343.575,-57.375,23.575,2.304,0.710,1.138,80.337
16:56:54.714,329.400,345.938,-102.600,25.938,3.805,0.719,5.145,81.056
16:56:54.796,311.175,346.950,-120.825,26.950,4.012,0.731,9.238,81.787
16:56:54.889,294.638,328.725,-137.362,8.725,4.506,0.731,13.818,81.722
16:56:54.983,288.731,313.538,-143.269,-6.462,4.548,0.731,18.366,81.668
16:56:55.063,255.150,319.275,-176.850,-0.725,5.965,0.731,24.481,81.668
16:56:55.180,239.119,328.050,-192.881,8.050,6.231,0.731,30.783,81.668
16:56:55.275,198.788,351.000,-233.212,31.000,7.814,1.074,38.776,82.824
16:56:55.357,201.150,353.025,-230.850,33.025,7.169,0.905,45.945,83.729
16:56:55.439,201.150,353.025,-230.850,33.025,7.169,0.905,45.945,83.729
16:56:55.519,201.150,353.025,-230.850,33.025,7.169,0.905,45.945,83.729
16:56:55.600,201.150,353.025,-230.850,33.025,7.169,0.905,45.945,83.729
16:56:55.681,463.725,323.325,31.725,3.325,-4.500,0.905,40.275,83.623
16:56:55.777,471.488,317.588,39.488,-2.412,-1.335,0.905,38.940,83.623
