timestamp,center_x,center_y
2026-02-18 09:18:00.209,405.34,423.90
2026-02-18 09:18:00.381,408.38,428.62
2026-02-18 09:18:00.491,401.96,430.65
2026-02-18 09:18:00.584,404.33,427.28
2026-02-18 09:18:00.687,405.68,428.29
2026-02-18 09:18:00.793,403.65,428.96
2026-02-18 09:18:00.879,402.98,429.98
2026-02-18 09:18:00.983,402.64,429.64
2026-02-18 09:18:01.097,401.62,430.65
2026-02-18 09:18:01.190,406.35,440.10
2026-02-18 09:18:01.289,406.35,447.53
2026-02-18 09:18:01.385,405.34,446.85
2026-02-18 09:18:01.476,404.33,442.12
2026-02-18 09:18:01.570,407.70,427.28
2026-02-18 09:18:01.665,408.04,398.59
2026-02-18 09:18:01.767,410.06,378.68
2026-02-18 09:18:01.855,413.78,360.45
2026-02-18 09:18:01.952,419.18,341.55
2026-02-18 09:18:02.045,423.90,324.67
2026-02-18 09:18:02.139,429.98,307.46
2026-02-18 09:18:02.242,432.00,289.91
2026-02-18 09:18:02.326,437.74,269.33
2026-02-18 09:18:02.415,441.11,260.55
2026-02-18 09:18:02.509,443.48,245.70
2026-02-18 09:18:02.603,442.46,230.18
2026-02-18 09:18:02.701,443.48,221.06
2026-02-18 09:18:02.791,440.78,212.96
2026-02-18 09:18:02.877,438.75,207.90
2026-02-18 09:18:02.969,436.73,203.51
2026-02-18 09:18:03.065,435.38,201.49
2026-02-18 09:18:03.158,432.00,208.58
2026-02-18 09:18:03.257,430.65,228.32
2026-02-18 09:18:03.340,430.31,244.01
2026-02-18 09:18:03.430,429.98,267.30
2026-02-18 09:18:03.523,429.64,282.83
2026-02-18 09:18:03.619,428.62,304.09
2026-02-18 09:18:03.720,427.95,324.34
2026-02-18 09:18:03.815,425.59,340.88
2026-02-18 09:18:03.927,421.88,357.08
2026-02-18 09:18:04.017,419.17,381.71
2026-02-18 09:18:04.109,415.12,402.30
2026-02-18 09:18:04.207,411.08,423.90
2026-02-18 09:18:04.297,407.03,444.15
2026-02-18 09:18:04.383,404.66,466.09
2026-02-18 09:18:04.473,400.61,490.39
2026-02-18 09:18:04.567,396.90,512.33
2026-02-18 09:18:04.660,392.18,533.25
2026-02-18 09:18:04.758,391.50,556.20
2026-02-18 09:18:04.846,385.76,594.00
2026-02-18 09:18:04.974,383.40,610.20
2026-02-18 09:18:05.066,369.56,621.89
2026-02-18 09:18:06.033,384.75,593.33
2026-02-18 09:18:06.160,381.71,561.26
2026-02-18 09:18:06.263,388.46,519.08
2026-02-18 09:18:06.351,379.35,485.66
2026-02-18 09:18:06.440,378.68,461.03
2026-02-18 09:18:06.535,385.43,436.73
2026-02-18 09:18:06.627,385.43,413.44
2026-02-18 09:18:06.741,381.71,390.15
2026-02-18 09:18:06.836,388.80,367.54
2026-02-18 09:18:06.925,396.90,339.53
2026-02-18 09:18:07.026,400.28,319.28
2026-02-18 09:18:07.131,401.96,298.35
2026-02-18 09:18:07.235,402.30,277.43
2026-02-18 09:18:07.327,400.95,246.38
2026-02-18 09:18:07.410,398.92,221.91
2026-02-18 09:18:07.500,397.58,207.73
2026-02-18 09:18:07.605,394.20,194.06
2026-02-18 09:18:07.700,390.15,196.43
2026-02-18 09:18:07.797,386.78,212.62
2026-02-18 09:18:07.884,384.08,234.23
2026-02-18 09:18:07.975,380.03,256.84
2026-02-18 09:18:08.075,380.36,280.12
2026-02-18 09:18:08.183,379.35,303.75
2026-02-18 09:18:08.275,377.33,323.66
2026-02-18 09:18:08.376,376.65,341.21
2026-02-18 09:18:08.468,376.65,362.48
2026-02-18 09:18:08.560,371.93,387.11
2026-02-18 09:18:08.665,373.28,410.40
2026-02-18 09:18:08.765,366.53,439.43
2026-02-18 09:18:08.853,355.39,464.06
2026-02-18 09:18:08.942,350.66,488.36
2026-02-18 09:18:09.035,348.98,503.55
2026-02-18 09:18:09.126,346.28,526.16
2026-02-18 09:18:09.223,346.95,531.90
2026-02-18 09:18:09.320,346.28,522.45
2026-02-18 09:18:09.405,343.41,497.14
2026-02-18 09:18:09.497,341.55,466.43
2026-02-18 09:18:09.592,337.84,433.35
2026-02-18 09:18:09.688,330.08,393.53
2026-02-18 09:18:09.782,322.99,350.33
2026-02-18 09:18:09.866,322.65,310.84
2026-02-18 09:18:09.969,330.24,277.76
2026-02-18 09:18:10.087,343.41,250.09
2026-02-18 09:18:10.186,365.17,216.68
2026-02-18 09:18:10.304,378.68,192.38
2026-02-18 09:18:10.390,393.19,155.25
2026-02-18 09:18:10.483,398.59,124.03
2026-02-18 09:18:10.604,403.31,103.11
2026-02-18 09:18:10.704,401.62,113.40
2026-02-18 09:18:10.798,395.55,145.46
2026-02-18 09:18:10.886,389.48,188.33
2026-02-18 09:18:10.977,386.78,221.06
2026-02-18 09:18:11.079,385.43,266.96
2026-02-18 09:18:11.186,380.36,310.50
2026-02-18 09:18:11.289,373.95,360.79
2026-02-18 09:18:11.377,364.50,396.23
2026-02-18 09:18:11.467,357.75,431.33
2026-02-18 09:18:11.561,355.39,467.78
2026-02-18 09:18:11.655,359.78,502.88
2026-02-18 09:18:11.755,365.51,535.28
2026-02-18 09:18:11.845,367.20,544.73
2026-02-18 09:18:11.941,373.95,518.74
2026-02-18 09:18:12.033,377.66,475.88
2026-02-18 09:18:12.133,384.75,425.92
2026-02-18 09:18:12.242,387.79,355.39
2026-02-18 09:18:12.350,390.83,300.71
2026-02-18 09:18:12.484,367.54,236.25
2026-02-18 09:18:12.578,63.45,330.08
