target_x,target_y,error_x,error_y,pid_out_x,pid_out_y
269.325,324.000,-162.675,4.000,2.175,90.000
275.231,325.688,-156.769,5.688,3.545,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
282.319,316.575,-149.681,-3.425,4.848,90.000
326.025,154.575,-105.975,-165.425,5.598,87.804
334.125,158.625,-97.875,-161.375,6.434,86.384
341.550,158.625,-90.450,-161.375,7.207,84.946
341.550,158.625,-90.450,-161.375,7.207,84.946
341.550,158.625,-90.450,-161.375,7.207,84.946
363.488,230.850,-68.512,-89.150,7.720,84.473
358.763,231.525,-73.237,-88.475,8.393,83.687
356.400,233.213,-75.600,-86.787,9.078,82.921
365.850,251.775,-66.150,-68.225,9.625,82.396
373.275,272.025,-58.725,-47.975,10.115,82.059
385.088,280.800,-46.912,-39.200,10.481,81.749
389.812,282.825,-42.188,-37.175,10.836,81.426
399.263,287.888,-32.737,-32.112,11.085,81.163
403.988,288.225,-28.012,-31.775,11.314,80.881
406.688,297.675,-25.312,-22.325,11.527,80.724
409.050,305.775,-22.950,-14.225,11.721,80.633
421.538,306.450,-10.462,-13.550,11.759,80.516
422.550,308.475,-9.450,-11.525,11.759,80.422
432.675,308.475,0.675,-11.525,11.759,80.319
448.538,307.800,16.538,-12.200,11.541,80.208
505.575,309.150,73.575,-10.850,10.631,80.117
539.325,305.775,107.325,-14.225,9.524,79.975
579.825,306.113,147.825,-13.887,8.026,79.853
619.650,308.475,187.650,-11.525,6.177,79.761
630.450,313.875,198.450,-6.125,4.360,79.761
631.800,313.875,199.800,-6.125,2.573,79.761
646.650,314.550,214.650,-5.450,0.594,79.761
651.375,315.225,219.375,-4.775,-1.382,79.761
661.500,316.237,229.500,-3.763,-3.473,79.761
661.500,316.237,229.500,-3.763,-5.518,79.761
646.650,311.850,214.650,-8.150,-7.365,79.761
599.738,305.775,167.738,-14.225,-8.650,79.607
581.513,304.763,149.513,-15.237,-9.902,79.466
545.738,311.850,113.738,-8.150,-10.756,79.466
516.713,324.675,84.713,4.675,-11.382,79.466
501.525,328.050,69.525,8.050,-11.934,79.466
461.700,330.750,29.700,10.750,-12.021,79.574
424.575,329.400,-7.425,9.400,-12.021,79.574
384.413,321.975,-47.587,1.975,-11.418,79.574
349.650,312.525,-82.350,-7.475,-10.529,79.574
316.238,303.075,-115.762,-16.925,-9.348,79.381
286.538,293.625,-145.462,-26.375,-7.920,79.104
260.888,287.213,-171.112,-32.787,-6.280,78.783
266.625,284.513,-165.375,-35.487,-4.832,78.455
252.788,293.625,-179.212,-26.375,-3.173,78.261
229.669,293.625,-202.331,-26.375,-1.267,78.026
189.000,292.275,-243.000,-27.725,1.080,77.773
147.994,290.925,-284.006,-29.075,3.794,77.507
122.091,293.625,-309.909,-26.375,6.671,77.284
86.738,302.400,-345.262,-17.600,9.905,77.167
75.853,309.825,-356.147,-10.175,13.128,77.109
75.853,326.700,-356.147,6.700,16.302,77.109
77.119,329.400,-354.881,9.400,19.459,77.109
83.531,334.800,-348.469,14.800,22.536,77.265
102.178,337.500,-329.822,17.500,25.392,77.433
139.388,338.850,-292.612,18.850,27.834,77.607
181.069,341.550,-250.931,21.550,29.885,77.811
234.562,358.425,-197.438,38.425,31.406,78.229
255.656,366.862,-176.344,46.862,32.884,78.684
301.388,385.425,-130.612,65.425,33.844,79.350
347.625,400.950,-84.375,80.950,34.390,80.140
372.600,404.325,-59.400,84.325,34.808,80.907
410.400,395.550,-21.600,75.550,34.832,81.541
443.138,391.163,11.138,71.163,34.587,82.156
465.750,384.075,33.750,64.075,34.185,82.695
492.750,365.850,60.750,45.850,33.524,83.023
516.713,366.188,84.713,46.188,32.662,83.436
529.875,361.125,97.875,41.125,31.731,83.780
559.575,363.150,127.575,43.150,30.462,84.173
567.000,362.475,135.000,42.475,29.225,84.549
585.225,365.175,153.225,45.175,27.779,84.963
602.438,361.800,170.438,41.800,26.183,85.321
614.588,357.075,182.588,37.075,24.502,85.630
628.088,353.025,196.088,33.025,22.694,85.907
650.363,337.163,218.363,17.163,20.649,85.989
661.500,331.425,229.500,11.425,18.554,86.065
699.975,313.200,267.975,-6.800,15.994,86.065
722.250,304.763,290.250,-15.237,13.308,85.892
741.150,295.988,309.150,-24.012,10.469,85.639
760.050,283.500,328.050,-36.500,7.461,85.258
760.725,280.125,328.725,-39.875,4.528,84.887
755.325,271.350,323.325,-48.650,1.671,84.415
745.200,259.875,313.200,-60.125,-1.075,83.828
733.725,252.113,301.725,-67.887,-3.713,83.188
733.725,252.113,301.725,-67.887,-3.713,83.188
660.150,262.575,228.150,-57.425,-5.419,82.723
608.175,258.525,176.175,-61.475,-6.757,82.157
597.037,256.838,165.037,-63.162,-8.178,81.586
560.588,264.938,128.588,-55.062,-9.162,81.132
518.738,284.175,86.738,-35.825,-9.748,80.898
477.900,301.050,45.900,-18.950,-9.975,80.805
454.612,307.800,22.612,-12.200,-10.073,80.726
416.475,313.875,-15.525,-6.125,-9.765,80.726
389.138,319.275,-42.862,-0.725,-9.261,80.726
356.400,329.062,-75.600,9.062,-8.441,80.726
333.112,340.875,-98.888,20.875,-7.456,80.965
308.644,351.675,-123.356,31.675,-6.248,81.295
302.062,359.438,-129.938,39.438,-5.061,81.681
282.825,364.500,-149.175,44.500,-3.645,82.100
264.769,365.175,-167.231,45.175,-2.075,82.506
232.538,359.438,-199.462,39.438,-0.153,82.832
199.969,343.238,-232.031,23.238,2.060,82.967
174.488,338.175,-257.512,18.175,4.468,83.106
169.931,330.075,-262.069,10.075,6.824,83.160
149.175,326.025,-282.825,6.025,9.437,83.160
152.803,329.062,-279.197,9.062,11.909,83.160
176.175,335.475,-255.825,15.475,14.085,83.326
220.725,334.125,-211.275,14.125,15.769,83.446
220.725,334.125,-211.275,14.125,15.769,83.446
325.688,309.150,-106.312,-10.850,16.249,83.238
345.094,302.737,-86.906,-17.263,16.937,83.056
363.825,283.500,-68.175,-36.500,17.461,82.645
385.425,262.913,-46.575,-57.087,17.780,82.044
413.100,251.775,-18.900,-68.225,17.825,81.387
429.975,251.775,-2.025,-68.225,17.825,80.779
455.288,258.863,23.288,-61.137,17.505,80.265
473.850,270.338,41.850,-49.662,17.049,79.874
502.875,269.325,70.875,-50.675,16.288,79.418
534.263,262.575,102.263,-57.425,15.237,78.876
559.575,249.750,127.575,-70.250,13.987,78.193
581.175,250.425,149.175,-69.575,12.561,77.576
597.375,255.488,165.375,-64.512,11.015,77.023
602.100,253.125,170.100,-66.875,9.478,76.417
604.463,252.450,172.463,-67.550,7.931,75.812
611.213,257.513,179.213,-62.487,6.304,75.277
608.850,266.625,176.850,-53.375,4.738,74.842
608.850,264.938,176.850,-55.062,3.162,74.344
609.188,259.875,177.188,-60.125,1.581,73.786
606.150,259.538,174.150,-60.462,0.043,73.245
591.975,262.575,159.975,-57.425,-1.320,72.747
582.863,270.338,150.863,-49.662,-2.624,72.339
570.375,289.913,138.375,-30.087,-3.801,72.158
544.725,295.312,112.725,-24.688,-4.691,71.962
531.225,297.338,99.225,-22.662,-5.516,71.769
514.013,300.375,82.013,-19.625,-6.170,71.608
492.750,304.088,60.750,-15.912,-6.616,71.483
485.325,311.175,53.325,-8.825,-7.059,71.483
471.825,317.925,39.825,-2.075,-7.353,71.483
463.050,321.300,31.050,1.300,-7.591,71.483
456.300,322.312,24.300,2.312,-7.777,71.483
454.275,320.625,22.275,0.625,-7.967,71.483
449.213,316.237,17.213,-3.763,-8.098,71.483
448.875,313.200,16.875,-6.800,-8.247,71.483
444.825,308.812,12.825,-11.188,-8.343,71.363
443.475,305.100,11.475,-14.900,-8.439,71.214
438.075,303.075,6.075,-16.925,-8.439,71.054
447.863,306.450,15.863,-13.550,-8.624,70.948
453.600,310.500,21.600,-9.500,-8.842,70.948
455.625,313.200,23.625,-6.800,-9.062,70.948
455.625,315.900,23.625,-4.100,-9.272,70.948
459.675,317.925,27.675,-2.075,-9.537,70.948
466.425,317.925,34.425,-2.075,-9.874,70.948
474.863,317.588,42.863,-2.412,-10.294,70.948
479.925,318.938,47.925,-1.062,-10.743,70.948
482.625,321.975,50.625,1.975,-11.206,70.948
487.688,325.688,55.688,5.688,-11.725,70.948
505.913,334.463,73.913,14.463,-12.465,71.116
533.588,338.850,101.588,18.850,-13.494,71.304
562.950,349.650,130.950,29.650,-14.792,71.616
587.250,356.737,155.250,36.737,-16.284,71.975
605.138,359.438,173.138,39.438,-17.906,72.339
613.575,361.125,181.575,41.125,-19.562,72.713
616.950,365.850,184.950,45.850,-21.225,73.143
609.525,365.850,177.525,45.850,-22.774,73.551
591.300,350.325,159.300,30.325,-24.113,73.752
554.850,350.325,122.850,30.325,-25.045,74.022
507.263,354.038,75.263,34.038,-25.504,74.342
458.663,344.250,26.663,24.250,-25.525,74.515
424.913,337.500,-7.087,17.500,-25.525,74.641
379.350,332.438,-52.650,12.438,-24.853,74.729
340.031,330.750,-91.969,10.750,-23.858,74.817
291.600,323.663,-140.400,3.663,-22.391,74.817
257.681,315.225,-174.319,-4.775,-20.686,74.817
255.488,315.225,-176.512,-4.775,-19.103,74.817
224.438,315.900,-207.562,-4.100,-17.115,74.817
207.562,316.913,-224.438,-3.087,-15.040,74.817
186.638,317.925,-245.362,-2.075,-12.760,74.817
181.406,313.875,-250.594,-6.125,-10.503,74.817
160.903,309.825,-271.097,-10.175,-7.996,74.709
159.216,314.550,-272.784,-5.450,-5.557,74.709
178.875,314.888,-253.125,-5.112,-3.389,74.709
170.100,307.800,-261.900,-12.200,-1.016,74.568
170.438,306.450,-261.562,-13.550,1.314,74.441
173.644,309.150,-258.356,-10.850,3.602,74.357
184.106,317.588,-247.894,-2.412,5.764,74.357
201.488,321.975,-230.512,1.975,7.741,74.357
228.150,319.613,-203.850,-0.387,9.439,74.357
253.800,320.625,-178.200,0.625,10.913,74.357
270.506,321.300,-161.494,1.300,12.278,74.357
302.400,324.338,-129.600,4.338,13.291,74.357
333.788,329.400,-98.212,9.400,14.026,74.357
360.450,333.788,-71.550,13.788,14.545,74.499
379.350,339.863,-52.650,19.863,14.930,74.703
401.625,346.275,-30.375,26.275,15.101,74.966
432.000,354.375,0.000,34.375,15.101,75.309
451.575,354.375,19.575,34.375,14.840,75.615
475.200,348.975,43.200,28.975,14.349,75.849
502.875,336.150,70.875,16.150,13.595,75.936
517.725,331.425,85.725,11.425,12.764,76.017
552.150,327.375,120.150,7.375,11.540,76.017
590.963,321.975,158.963,1.975,9.951,76.017
608.850,313.875,176.850,-6.125,8.295,76.017
625.050,305.100,193.050,-14.900,6.502,75.845
641.588,297.675,209.588,-22.325,4.561,75.613
658.125,295.650,226.125,-24.350,2.472,75.387
679.725,288.900,247.725,-31.100,0.168,75.079
686.475,288.562,254.475,-31.438,-2.130,74.798
692.550,290.250,260.550,-29.750,-4.479,74.540
695.250,290.925,263.250,-29.075,-6.838,74.284
704.025,297.000,272.025,-23.000,-9.301,74.106
712.800,303.413,280.800,-16.587,-11.843,73.987
743.175,310.500,311.175,-9.500,-14.751,73.987
764.100,309.150,332.100,-10.850,-17.804,73.884
776.081,314.550,344.081,-5.450,-20.924,73.884
787.050,313.875,355.050,-6.125,-24.137,73.884
792.450,324.675,360.450,4.675,-27.373,73.884
793.800,340.200,361.800,20.200,-30.604,74.133
799.031,354.038,367.031,34.038,-33.898,74.498
794.981,366.525,362.981,46.525,-37.115,74.969
777.600,374.625,345.600,54.625,-40.117,75.491
708.750,378.000,276.750,58.000,-42.277,76.023
659.138,374.288,227.138,54.288,-44.080,76.491
611.888,353.700,179.888,33.700,-45.473,76.699
583.875,351.000,151.875,31.000,-46.702,76.964
551.475,348.638,119.475,28.638,-47.622,77.208
540.675,347.288,108.675,27.288,-48.542,77.445
509.288,343.238,77.288,23.238,-49.091,77.634
488.025,340.200,56.025,20.200,-49.496,77.801
471.150,336.825,39.150,16.825,-49.770,77.936
450.900,320.288,18.900,0.288,-49.848,77.936
448.200,312.525,16.200,-7.475,-49.980,77.936
442.463,308.475,10.463,-11.525,-50.048,77.815
443.812,312.525,11.812,-7.475,-50.159,77.815
444.825,315.900,12.825,-4.100,-50.278,77.815
442.800,315.562,10.800,-4.438,-50.365,77.815
427.613,315.225,-4.387,-4.775,-50.365,77.815
393.525,311.850,-38.475,-8.150,-49.870,77.815
353.362,313.200,-78.638,-6.800,-48.991,77.815
298.688,307.125,-133.312,-12.875,-47.559,77.673
236.925,294.300,-195.075,-25.700,-45.545,77.387
172.800,276.750,-259.200,-43.250,-42.949,76.923
141.581,269.325,-290.419,-50.675,-40.222,76.439
102.431,260.550,-329.569,-59.450,-37.110,75.870
92.391,258.525,-339.609,-61.475,-34.039,75.313
98.888,288.900,-333.112,-31.100,-31.099,75.171
100.406,292.275,-331.594,-27.725,-28.151,74.939
113.569,298.013,-318.431,-21.987,-25.372,74.769
121.331,296.325,-310.669,-23.675,-22.638,74.550
120.656,298.350,-311.344,-21.650,-19.860,74.366
108.844,294.975,-323.156,-25.025,-16.927,74.128
81.759,304.425,-350.241,-15.575,-13.685,74.031
62.606,316.237,-369.394,-3.763,-10.308,74.031
50.583,323.325,-381.417,3.325,-6.855,74.031
51.722,320.625,-380.278,0.625,-3.471,74.031
49.866,313.200,-382.134,-6.800,-0.057,74.031
50.456,309.150,-381.544,-10.850,3.341,73.917
58.556,308.475,-373.444,-11.525,6.633,73.811
75.178,322.650,-356.822,2.650,9.739,73.811
75.178,322.650,-356.822,2.650,9.739,73.811
296.494,248.738,-135.506,-71.262,9.960,72.847
167.738,373.950,-264.262,53.950,12.889,73.885
175.500,366.525,-256.500,46.525,15.140,74.267
175.500,366.525,-256.500,46.525,15.140,74.267
175.500,366.525,-256.500,46.525,15.140,74.267
275.738,348.975,-156.262,28.975,16.086,74.447
277.931,349.650,-154.069,29.650,17.449,74.714
295.988,355.725,-136.012,35.725,18.581,75.060
313.369,355.388,-118.631,35.388,19.561,75.373
337.500,360.450,-94.500,40.450,20.296,75.757
363.487,355.050,-68.513,35.050,20.790,76.045
378.675,351.675,-53.325,31.675,21.198,76.312
407.362,355.050,-24.638,35.050,21.290,76.639
425.925,360.450,-6.075,40.450,21.290,77.024
450.900,367.200,18.900,47.200,21.010,77.475
475.875,379.013,43.875,59.013,20.508,78.053
505.575,373.950,73.575,53.950,19.720,78.512
539.325,370.575,107.325,50.575,18.613,78.947
569.700,358.425,137.700,38.425,17.250,79.236
588.938,347.625,156.938,27.625,15.766,79.434
627.075,339.188,195.075,19.188,13.857,79.567
660.150,332.438,228.150,12.438,11.677,79.648
700.650,339.188,268.650,19.188,9.102,79.849
749.925,340.200,317.925,20.200,6.049,80.033
758.700,343.237,326.700,23.237,3.098,80.254
780.300,359.438,348.300,39.438,-0.102,80.678
797.175,342.900,365.175,22.900,-3.432,80.808
809.831,311.850,377.831,-8.150,-6.855,80.808
832.275,281.812,400.275,-38.188,-10.522,80.334
832.275,281.812,400.275,-38.188,-10.522,80.334
832.275,281.812,400.275,-38.188,-10.522,80.334
632.475,577.800,200.475,257.800,-11.419,83.950
638.550,575.100,206.550,255.100,-13.287,86.212
638.550,575.100,206.550,255.100,-13.287,86.212
638.550,575.100,206.550,255.100,-13.287,86.212
635.850,526.162,203.850,206.162,-15.091,87.831
645.975,529.538,213.975,209.538,-17.043,89.713
645.975,529.538,213.975,209.538,-17.043,89.713
645.975,529.538,213.975,209.538,-17.043,89.713
604.800,504.225,172.800,184.225,-18.400,91.243
618.638,510.638,186.638,190.638,-20.125,92.970
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
39.994,96.525,-392.006,-223.475,-14.053,89.133
847.631,195.413,415.631,-124.587,-21.356,88.463
805.781,180.731,373.781,-139.269,-24.501,87.157
789.075,165.881,357.075,-154.119,-27.608,85.717
649.013,153.900,217.013,-166.100,-28.918,84.184
573.750,176.850,141.750,-143.150,-29.846,83.010
543.375,185.625,111.375,-134.375,-30.703,81.852
516.713,223.256,84.713,-96.744,-31.340,81.157
515.363,232.538,83.363,-87.462,-32.076,80.419
509.625,244.013,77.625,-75.987,-32.743,79.793
503.213,263.925,71.213,-56.075,-33.349,79.382
492.750,274.050,60.750,-45.950,-33.844,79.017
489.375,279.113,57.375,-40.887,-34.340,78.676
484.312,292.950,52.312,-27.050,-34.784,78.496
478.913,300.375,46.913,-19.625,-35.178,78.354
476.550,304.425,44.550,-15.575,-35.564,78.234
465.750,307.125,33.750,-12.875,-35.817,78.131
465.075,309.150,33.075,-10.850,-36.108,78.043
465.075,311.175,33.075,-8.825,-36.403,78.043
464.400,311.513,32.400,-8.487,-36.689,78.043
464.062,315.225,32.062,-4.775,-36.973,78.043
475.875,321.300,43.875,1.300,-37.417,78.043
493.425,327.375,61.425,7.375,-38.042,78.043
516.375,335.812,84.375,15.812,-38.897,78.222
533.588,342.225,101.588,22.225,-39.879,78.448
552.488,348.300,120.488,28.300,-41.037,78.728
564.300,347.625,132.300,27.625,-42.268,78.971
577.125,346.275,145.125,26.275,-43.619,79.199
578.475,345.600,146.475,25.600,-44.930,79.424
566.325,346.950,134.325,26.950,-46.073,79.670
538.312,349.312,106.312,29.312,-46.896,79.942
495.450,356.400,63.450,36.400,-47.270,80.298
476.213,344.925,44.213,24.925,-47.579,80.469
468.113,345.600,36.113,25.600,-47.864,80.700
433.350,355.050,1.350,35.050,-47.864,81.055
408.713,365.850,-23.287,45.850,-47.547,81.512
361.800,364.500,-70.200,44.500,-46.712,81.902
320.288,369.900,-111.712,49.900,-45.532,82.371
291.938,369.225,-140.062,49.225,-44.157,82.807
265.950,363.150,-166.050,43.150,-42.562,83.164
268.650,359.775,-163.350,39.775,-41.118,83.503
256.163,351.675,-175.837,31.675,-39.495,83.750
244.181,345.263,-187.819,25.263,-37.768,83.946
214.312,339.525,-217.688,19.525,-35.695,84.095
175.331,325.350,-256.669,5.350,-33.234,84.095
125.213,315.900,-306.787,-4.100,-30.276,84.095
83.953,304.425,-348.047,-15.575,-26.991,83.905
62.395,300.375,-369.605,-19.625,-23.601,83.712
54.422,301.050,-377.578,-18.950,-20.200,83.546
56.194,303.413,-375.806,-16.587,-16.859,83.409
46.027,292.950,-385.973,-27.050,-13.374,83.121
45.141,274.725,-386.859,-45.275,-9.922,82.636
57.923,269.663,-374.077,-50.337,-6.645,82.165
78.891,282.150,-353.109,-37.850,-3.592,81.883
119.812,284.175,-312.188,-35.825,-0.992,81.573
196.087,293.963,-235.913,-26.037,0.771,81.385
243.337,300.712,-188.663,-19.288,2.242,81.243
284.344,309.150,-147.656,-10.850,3.375,81.184
304.088,313.875,-127.912,-6.125,4.427,81.184
317.419,314.550,-114.581,-5.450,5.388,81.184
331.087,314.550,-100.913,-5.450,6.227,81.184
355.050,315.900,-76.950,-4.100,6.806,81.184
367.200,316.237,-64.800,-3.763,7.329,81.184
376.312,317.925,-55.688,-2.075,7.785,81.184
378.675,317.925,-53.325,-2.075,8.250,81.184
384.075,315.900,-47.925,-4.100,8.653,81.184
390.825,316.238,-41.175,-3.762,8.990,81.184
