timestamp,target_x,target_y,error_x,error_y,p_out_delta_x,p_out_delta_y,pid_out_x,pid_out_y
09:50:01.207,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:01.327,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:01.445,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:01.587,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:01.705,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:01.827,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:01.946,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:02.067,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:02.200,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
09:50:02.315,357.750,159.300,-74.250,-160.700,3.309,-6.015,3.309,83.985
09:50:02.433,357.750,159.300,-74.250,-160.700,0.662,-1.146,3.970,82.839
09:50:02.561,357.750,159.300,-74.250,-160.700,0.662,-1.146,4.632,81.693
09:50:02.678,357.750,159.300,-74.250,-160.700,0.662,-1.146,5.294,80.548
09:50:02.797,357.750,159.300,-74.250,-160.700,0.662,-1.146,5.294,80.548
09:50:02.917,357.750,159.300,-74.250,-160.700,0.662,-1.146,5.294,80.548
09:50:03.057,533.250,305.100,73.828,-37.681,-4.282,0.308,1.011,80.856
09:50:03.180,537.300,307.125,110.561,-8.110,-3.940,0.308,-2.928,80.856
09:50:03.303,534.938,302.400,118.681,-3.679,-3.810,0.308,-6.739,80.856
09:50:03.427,456.300,291.600,61.369,-14.174,-1.148,-0.491,-7.887,80.365
09:50:03.554,222.750,562.275,-130.243,167.214,6.624,6.410,-1.263,86.775
09:50:03.674,378.000,293.963,-103.947,57.830,2.891,0.376,1.628,87.152
09:50:03.808,378.000,293.963,-142.668,57.619,1.271,0.411,2.899,87.562
09:50:03.928,488.700,210.938,20.495,-83.748,-2.820,-3.751,0.079,83.811
09:50:04.054,501.525,213.131,64.935,-114.822,-2.620,-3.402,-2.541,80.409
09:50:04.178,501.525,213.131,102.721,-157.430,-0.915,-1.122,-3.456,79.287
09:50:04.302,501.525,213.131,140.506,-200.038,-1.252,-1.426,-4.708,77.861
09:50:04.429,431.325,304.088,14.011,-34.518,1.254,0.847,-3.454,78.708
09:50:04.548,422.550,328.050,-5.781,1.216,1.254,0.847,-3.454,78.708
09:50:04.677,412.425,330.750,-19.736,15.592,0.802,0.571,-2.652,79.278
09:50:04.798,433.350,330.075,-9.229,17.926,0.802,0.504,-2.652,79.783
09:50:04.925,433.013,330.075,-3.063,16.226,0.802,0.416,-2.652,80.198
09:50:05.043,444.488,322.312,8.033,8.445,0.802,0.416,-2.652,80.198
09:50:05.168,444.487,306.788,12.741,-6.576,-0.460,0.416,-3.112,80.198
09:50:05.292,444.150,305.775,13.859,-13.843,-0.447,-0.448,-3.560,79.750
09:50:05.413,445.500,305.775,14.623,-16.166,-0.466,-0.457,-4.026,79.293
09:50:05.532,448.200,303.075,16.396,-18.165,-0.535,-0.507,-4.561,78.786
09:50:05.653,454.950,300.375,21.575,-20.278,-0.742,-0.565,-5.303,78.222
09:50:05.771,449.550,297.675,19.804,-22.603,-0.594,-0.629,-5.897,77.592
09:50:05.891,457.650,301.388,24.225,-20.640,-0.815,-0.531,-6.712,77.062
