timestamp,target_x,target_y,error_x,error_y,p_out_delta_x,p_out_delta_y,pid_out_x,pid_out_y
10:58:02.605,351.675,163.350,-80.325,-156.650,4.653,-9.074,4.653,80.926
10:58:02.697,374.625,157.275,-78.239,-157.202,2.027,-4.220,6.680,76.705
10:58:02.796,375.975,160.650,-74.678,-157.547,1.886,-4.223,8.565,72.482
10:58:02.897,375.975,160.650,-74.677,-157.547,0.666,-1.123,9.231,71.359
10:58:02.987,455.625,371.250,-48.633,-102.228,0.488,-1.008,9.719,70.352
10:58:03.083,467.775,406.350,-26.056,-51.789,-0.008,0.189,9.711,70.540
10:58:03.169,476.888,430.312,-6.980,-8.202,-0.008,0.189,9.711,70.540
10:58:03.259,483.300,444.150,8.741,27.498,-0.008,1.849,9.711,72.389
10:58:03.354,483.975,443.475,20.429,53.444,-0.911,2.238,8.800,74.627
10:58:03.438,484.650,428.625,29.156,68.400,-1.052,2.295,7.749,76.922
10:58:03.527,487.350,409.725,36.262,74.215,-1.191,2.166,6.557,79.088
10:58:03.616,494.100,374.963,43.278,69.059,-1.376,1.686,5.182,80.774
10:58:03.701,477.900,338.850,44.018,55.520,-1.200,1.062,3.982,81.836
10:58:03.784,475.200,323.325,43.827,41.431,-1.166,0.668,2.816,82.504
10:58:03.870,461.025,290.250,39.849,22.187,-0.941,-0.007,1.874,82.497
10:58:03.956,449.550,264.938,33.837,1.280,-0.717,-0.007,1.157,82.497
10:58:04.041,440.438,262.238,26.977,-14.717,-0.507,-0.892,0.650,81.604
10:58:04.127,436.050,260.888,20.780,-26.764,-0.362,-1.091,0.288,80.513
10:58:04.217,427.950,259.875,14.060,-35.833,-0.166,-1.241,0.121,79.272
10:58:04.301,421.200,261.900,7.322,-41.907,-0.166,-1.310,0.121,77.962
10:58:04.389,420.525,276.075,2.220,-42.496,-0.166,-1.155,0.121,76.808
10:58:04.482,419.175,305.775,-1.872,-34.869,-0.166,-0.694,0.121,76.113
10:58:04.570,423.562,322.650,-3.669,-24.721,-0.166,-0.344,0.121,75.769
10:58:04.656,423.900,344.250,-4.889,-11.449,-0.166,0.108,0.121,75.877
10:58:04.741,426.600,352.350,-5.047,0.441,-0.166,0.108,0.121,75.877
10:58:04.829,427.950,351.675,-4.795,8.939,-0.166,0.108,0.121,75.877
10:58:04.916,428.963,350.663,-4.337,14.869,-0.166,0.582,0.121,76.459
10:58:04.999,431.325,348.975,-3.360,18.740,-0.166,0.622,0.121,77.081
10:58:05.091,430.988,347.625,-2.738,21.199,-0.166,0.643,0.121,77.724
10:58:05.180,431.325,334.800,-2.193,19.508,-0.166,0.469,0.121,78.193
10:58:05.268,429.975,313.538,-2.161,12.491,-0.166,0.115,0.121,78.308
10:58:05.355,426.600,267.975,-3.056,-5.024,-0.166,0.115,0.121,78.308
10:58:05.437,423.225,219.375,-4.628,-31.034,-0.166,-1.641,0.121,76.667
10:58:05.524,421.538,202.331,-6.235,-54.663,-0.166,-2.198,0.121,74.469
10:58:05.611,418.838,173.138,-8.143,-79.860,-0.166,-2.921,0.121,71.548
10:58:05.695,417.825,174.150,-9.811,-97.981,-0.166,-3.185,0.121,68.363
10:58:05.781,417.825,173.475,-11.029,-111.395,0.333,-3.397,0.454,64.966
10:58:05.877,419.175,206.550,-11.551,-112.178,0.325,-3.024,0.779,61.943
10:58:05.964,419.175,243.000,-11.932,-102.819,0.331,-2.457,1.110,59.486
10:58:06.048,413.100,270.338,-13.865,-88.535,0.431,-1.922,1.541,57.564
10:58:06.133,410.400,283.500,-16.012,-74.518,0.495,-1.555,2.036,56.009
10:58:06.223,408.375,313.200,-18.132,-56.185,0.551,-0.930,2.587,55.079
10:58:06.307,408.038,345.600,-19.771,-33.965,0.580,-0.215,3.167,54.864
10:58:06.399,426.600,382.050,-15.905,-7.800,0.305,-0.215,3.472,54.864
10:58:06.484,427.275,409.050,-12.898,18.670,0.251,1.325,3.723,56.188
10:58:06.595,437.062,425.250,-8.031,42.416,0.251,1.875,3.723,58.063
10:58:06.680,443.812,447.525,-2.635,65.832,0.251,2.490,3.723,60.554
10:58:06.769,450.225,455.288,3.055,85.046,0.251,2.873,3.723,63.427
10:58:06.858,453.600,433.013,8.131,92.989,0.251,2.734,3.723,66.161
10:58:06.954,460.688,425.250,13.772,96.667,-0.544,2.699,3.179,68.860
10:58:07.066,467.100,415.800,19.642,96.769,-0.708,2.590,2.470,71.450
10:58:07.154,477.225,414.113,26.695,96.381,-0.934,2.565,1.537,74.015
10:58:07.242,485.325,425.588,34.057,99.232,-1.140,2.742,0.396,76.757
10:58:07.333,487.688,427.275,40.077,101.774,-1.259,2.800,-0.863,79.557
10:58:07.418,463.725,424.575,37.920,102.889,-0.947,2.786,-1.809,82.343
10:58:07.515,453.600,422.213,33.575,103.055,-0.762,2.760,-2.572,85.103
10:58:07.601,441.450,398.250,27.079,96.621,-0.521,2.383,-3.093,87.486
10:58:07.687,427.950,355.050,18.643,80.102,-0.235,1.626,-3.328,89.112
10:58:07.774,419.175,335.138,10.082,62.591,-0.003,1.127,-3.331,90.240
10:58:07.862,382.050,295.650,-6.329,38.999,-0.003,0.307,-3.331,90.546
10:58:07.962,349.650,276.075,-27.180,16.416,1.377,-0.266,-1.954,90.281
10:58:08.066,308.812,266.625,-53.583,-2.659,2.256,-0.266,0.302,90.281
10:58:08.153,256.500,267.300,-87.184,-16.399,3.379,-0.867,3.682,89.414
10:58:08.243,235.575,267.300,-117.444,-26.430,4.084,-1.019,7.765,88.394
10:58:08.327,184.950,259.200,-153.403,-35.971,5.223,-1.259,12.988,87.135
10:58:08.412,173.138,255.150,-182.887,-44.045,5.809,-1.429,18.798,85.706
10:58:08.496,161.156,258.525,-207.692,-49.013,6.327,-1.465,25.124,84.240
10:58:08.582,167.991,278.100,-223.922,-47.273,6.493,-1.210,31.617,83.031
10:58:08.676,202.500,313.200,-226.304,-36.379,6.125,-0.633,37.742,82.398
10:58:08.760,202.500,313.200,-227.485,-36.594,2.027,-0.261,39.770,82.137
10:58:08.846,261.562,353.025,-209.710,-14.075,5.052,0.326,44.822,82.463
10:58:08.932,301.388,370.575,-186.681,5.301,4.273,0.326,49.095,82.463
10:58:09.016,315.225,373.950,-167.207,19.335,3.863,0.955,52.958,83.418
10:58:09.101,315.225,373.950,-168.024,19.441,1.497,0.139,54.455,83.556
