timestamp,target_x,target_y,error_x,error_y,p_out_delta_x,p_out_delta_y,pid_out_x,pid_out_y
17:45:00.282,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.377,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.465,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.551,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.642,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.725,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.811,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.900,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:00.992,432.000,320.000,0.000,0.000,-0.000,0.000,0.000,90.000
17:45:01.109,423.900,625.725,-8.100,305.725,-0.000,11.443,0.000,101.443
17:45:01.198,422.550,626.281,-8.412,305.853,-0.000,8.179,0.000,109.622
17:45:01.299,422.550,625.725,-8.883,305.795,-0.000,8.175,0.000,117.797
17:45:01.385,422.550,625.725,-9.053,305.774,-0.000,2.180,0.000,119.977
17:45:01.472,422.550,625.725,-9.223,305.753,-0.000,2.180,0.000,122.157
17:45:01.559,422.550,625.725,-9.393,305.732,-0.000,2.180,0.000,124.337
17:45:01.645,450.225,173.981,16.588,-119.412,-0.865,-7.739,-0.865,116.598
17:45:01.733,481.950,178.200,42.230,-167.381,-1.660,-4.988,-2.525,111.610
17:45:01.818,483.300,174.825,52.831,-177.689,-1.790,-4.861,-4.314,106.749
17:45:01.907,482.288,175.331,54.797,-170.117,-1.736,-4.467,-6.050,102.281
17:45:01.995,482.288,175.331,62.673,-195.899,-0.559,-1.397,-6.608,100.885
17:45:02.083,470.812,183.600,43.566,-149.174,-1.104,-3.489,-7.712,97.396
17:45:02.172,472.163,182.925,40.640,-140.554,-1.229,-3.666,-8.941,93.730
17:45:02.258,477.225,184.950,43.155,-135.639,-1.380,-3.574,-10.320,90.156
17:45:02.346,480.600,187.650,46.900,-132.090,-1.513,-3.494,-11.833,86.663
17:45:02.435,483.638,191.194,50.669,-128.623,-1.631,-3.402,-13.464,83.261
17:45:02.519,490.050,198.450,56.573,-122.572,-1.844,-3.212,-15.308,80.049
17:45:02.604,492.413,201.319,60.456,-118.428,-1.938,-3.122,-17.245,76.927
17:45:02.690,493.425,201.825,62.327,-116.894,-1.969,-3.109,-19.214,73.818
17:45:02.777,494.775,200.306,63.563,-117.872,-1.999,-3.162,-21.214,70.656
17:45:02.867,494.775,195.750,63.701,-121.891,-1.989,-3.302,-23.202,67.354
17:45:02.956,495.450,201.150,63.933,-120.064,-1.997,-3.191,-25.200,64.164
17:45:03.041,499.163,214.988,66.443,-109.509,-2.106,-2.815,-27.306,61.349
17:45:03.128,530.550,255.825,89.275,-76.513,-3.090,-1.693,-30.396,59.656
17:45:03.217,560.250,263.250,119.689,-57.596,-4.140,-1.338,-34.536,58.318
17:45:03.310,592.312,263.250,153.835,-51.594,-5.255,-1.315,-39.790,57.003
17:45:03.418,647.663,258.188,204.699,-54.852,-7.065,-1.501,-46.855,55.502
17:45:03.507,662.175,255.825,233.564,-59.587,-7.671,-1.644,-54.527,53.858
17:45:03.595,646.650,253.125,230.501,-64.291,-7.149,-1.769,-61.675,52.089
17:45:03.681,626.400,252.450,210.687,-66.970,-6.307,-1.819,-67.982,50.269
17:45:03.769,607.500,242.663,186.592,-74.773,-5.498,-2.083,-73.481,48.187
17:45:03.862,580.163,217.688,156.891,-95.306,-4.497,-2.768,-77.977,45.419
17:45:03.947,563.625,208.069,133.720,-110.355,-3.861,-3.111,-81.838,42.308
17:45:04.048,544.050,204.694,112.420,-117.752,-3.222,-3.227,-85.060,39.080
17:45:04.141,501.525,199.631,76.231,-122.786,-1.894,-3.337,-86.954,35.744
17:45:04.231,481.613,193.725,49.350,-127.697,-1.180,-3.467,-88.134,32.277
17:45:04.326,459.675,183.263,25.990,-136.044,-0.498,-3.727,-88.633,28.551
17:45:04.416,458.325,180.562,18.462,-140.669,-0.475,-3.810,-89.108,24.740
17:45:04.505,460.350,180.900,19.959,-141.467,-0.643,-3.791,-89.751,20.949
17:45:04.591,468.450,184.275,28.586,-138.645,-1.007,-3.677,-90.758,17.273
17:45:04.702,472.163,184.275,36.166,-136.906,-1.229,-3.642,-91.987,13.631
17:45:04.788,473.175,178.200,40.380,-140.251,-1.316,-3.786,-93.303,9.845
17:45:04.874,474.525,174.825,42.840,-144.084,-1.369,-3.893,-94.672,5.952
17:45:04.960,476.888,172.125,45.137,-147.458,-1.439,-3.979,-96.111,1.974
17:45:05.052,479.250,169.763,47.404,-150.253,-1.509,-4.047,-97.620,-2.073
17:45:05.137,481.275,169.762,49.456,-151.098,-1.570,-4.049,-99.190,-6.122
17:45:05.224,480.263,174.319,49.320,-147.923,-1.537,-3.921,-100.726,-10.043
17:45:05.314,480.263,174.319,50.557,-147.656,-0.451,-1.053,-101.177,-11.096
17:45:05.399,480.263,174.319,51.793,-147.390,-0.462,-1.051,-101.638,-12.147
17:45:05.484,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:05.571,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:05.657,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:05.748,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:05.850,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:05.937,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.033,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.131,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.218,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.306,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.411,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.506,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.590,480.263,174.319,53.029,-147.124,-0.473,-1.049,-102.111,-13.196
17:45:06.683,133.059,359.100,-281.779,30.065,13.265,2.699,-88.846,-10.497
17:45:06.788,149.513,394.875,-306.047,74.717,9.871,2.475,-78.975,-8.022
17:45:06.884,168.581,404.325,-293.947,94.748,9.007,2.747,-69.968,-5.274
17:45:06.971,194.738,359.775,-262.252,66.078,7.756,1.460,-62.212,-3.814
17:45:07.060,175.163,356.062,-258.802,46.826,8.026,1.046,-54.185,-2.768
17:45:07.149,175.163,356.062,-257.934,41.725,2.299,0.297,-51.887,-2.471
17:45:07.240,109.012,496.800,-313.015,155.594,10.500,5.378,-41.387,2.907
17:45:07.337,109.012,496.800,-332.082,192.882,2.960,1.375,-38.427,4.282
17:45:07.422,129.094,584.550,-310.079,259.439,9.378,7.648,-29.049,11.930
17:45:07.509,156.853,588.600,-286.678,279.704,8.629,7.695,-20.420,19.625
17:45:07.600,156.853,588.600,-279.959,316.033,2.495,2.253,-17.925,21.878
17:45:07.686,156.853,588.600,-273.240,352.362,2.435,2.512,-15.490,24.391
17:45:07.775,320.456,542.700,-124.158,236.211,1.880,5.073,-13.610,29.464
17:45:07.863,349.650,539.662,-80.339,221.915,1.920,5.780,-11.690,35.244
17:45:07.951,372.263,555.525,-51.817,228.107,1.235,6.165,-10.455,41.409
17:45:08.037,387.450,523.800,-35.094,210.071,0.871,5.424,-9.584,46.833
17:45:08.125,397.575,499.500,-25.876,185.738,0.684,4.706,-8.900,51.538
17:45:08.215,406.013,448.875,-19.779,141.191,0.535,3.298,-8.364,54.837
