timestamp,center_x,center_y
2026-03-04 15:24:32.406,164.70,301.05
2026-03-04 15:24:32.495,290.76,213.13
2026-03-04 15:24:32.584,331.76,174.83
2026-03-04 15:24:32.760,589.28,283.50
2026-03-04 15:24:32.848,616.95,334.12
2026-03-04 15:24:32.937,602.78,339.53
2026-03-04 15:24:33.145,328.56,278.78
2026-03-04 15:24:33.238,246.38,277.76
2026-03-04 15:24:33.327,250.93,285.19
2026-03-04 15:24:33.433,364.84,293.96
2026-03-04 15:24:33.623,558.23,344.93
2026-03-04 15:24:33.743,571.05,351.00
2026-03-04 15:24:33.924,457.31,325.69
2026-03-04 15:24:34.011,408.04,316.24
2026-03-04 15:24:34.104,402.30,315.90
2026-03-04 15:24:34.193,402.98,316.24
2026-03-04 15:24:34.285,437.06,315.23
2026-03-04 15:24:34.376,454.95,310.16
2026-03-04 15:24:34.464,473.51,311.85
2026-03-04 15:24:34.552,471.83,312.86
2026-03-04 15:24:34.701,441.45,310.50
2026-03-04 15:24:34.790,391.84,313.20
2026-03-04 15:24:34.881,380.03,317.25
2026-03-04 15:24:34.970,378.00,327.71
2026-03-04 15:24:35.059,411.75,321.98
2026-03-04 15:24:35.164,432.00,319.95
2026-03-04 15:24:35.254,461.70,322.99
2026-03-04 15:24:35.343,464.06,320.96
2026-03-04 15:24:35.434,469.12,314.55
2026-03-04 15:24:35.527,451.24,313.20
2026-03-04 15:24:35.619,445.16,316.91
2026-03-04 15:24:35.709,435.71,316.58
2026-03-04 15:24:35.800,444.15,315.90
2026-03-04 15:24:35.891,457.31,319.28
2026-03-04 15:24:35.981,471.83,313.88
2026-03-04 15:24:36.076,472.50,307.12
2026-03-04 15:24:36.165,477.90,304.42
2026-03-04 15:24:36.255,474.53,302.40
2026-03-04 15:24:36.345,480.60,309.83
2026-03-04 15:24:36.438,486.34,313.88
2026-03-04 15:24:36.528,502.88,326.03
2026-03-04 15:24:36.616,530.21,327.04
2026-03-04 15:24:36.705,513.00,332.10
